cases_key,date_ref,waitingtime,accountid,count_cases
34,2020-10-26,7.0,0013j000030EOGoAAO,1
35,2020-07-21,5.0,0013j00002ykXSEAA2,1
36,2020-09-14,2.0,0013j00002ykXSEAA2,1
37,2020-06-03,4.0,0013j00002u3av5AAA,1
38,2020-06-15,9.0,0013j00002u3av5AAA,1
39,2020-07-29,4.0,0013j00002u3av5AAA,1
40,2020-07-30,4.0,0013j00002u3av5AAA,1
41,2020-07-30,4.0,0013j00002u3av5AAA,1
42,2020-08-06,11.0,0013j00002u3av5AAA,1
43,2020-07-01,15.0,0013j00002yBl9TAAS,1
44,2020-06-24,11.0,0013j00002ykiCOAAY,1
45,2020-06-25,7.0,0013j00002ykiCOAAY,1
46,2020-04-09,10.0,0013j00002mYasGAAS,1
47,2020-07-06,6.0,0013j00002u1msaAAA,1
48,2020-07-06,55.0,0013j00002u1msaAAA,1
49,2020-08-20,7.0,0013j00002z11ygAAA,1
50,2020-08-20,7.0,0013j00002z11ygAAA,1
51,2020-09-08,3.0,0013j00002z11ygAAA,1
52,2020-07-13,11.0,0013j00002yoI27AAE,1
53,2020-07-15,189.0,0013j00002yoI27AAE,1
54,2020-05-02,18.0,0013j00002tgA6IAAU,1
55,2020-05-02,18.0,0013j00002tgA6IAAU,1
56,2020-05-11,7.0,0013j00002tgA6IAAU,1
57,2020-07-23,16.0,0013j00002tgA6IAAU,1
58,2020-07-27,11.0,0013j00002tgA6IAAU,1
59,2020-06-09,5.0,0013j00002u2QROAA2,1
60,2020-06-09,5.0,0013j00002u2QROAA2,1
61,2020-05-19,8.0,0013j00002tfCjjAAE,1
62,2020-08-03,13.0,0013j00002z0dhDAAQ,1
63,2020-08-03,13.0,0013j00002z0dhDAAQ,1
64,2020-08-04,16.0,0013j00002z0dhDAAQ,1
65,2020-08-04,16.0,0013j00002z0dhDAAQ,1
66,2020-08-04,16.0,0013j00002z0dhDAAQ,1
67,2020-08-05,14.0,0013j00002z0dhDAAQ,1
68,2020-08-05,14.0,0013j00002z0dhDAAQ,1
69,2020-08-20,144.0,0013j00002z0dhDAAQ,1
70,2020-09-07,10.0,0013j00002z0dhDAAQ,1
71,2020-10-14,6.0,0013j00002z0dhDAAQ,1
72,2020-08-11,19.0,0013j00002u2VyrAAE,1
73,2020-08-14,17.0,0013j00002u2VyrAAE,1
74,2020-08-26,2.0,0013j00002u2VyrAAE,1
75,2020-09-02,17.0,0013j00002u2VyrAAE,1
76,2020-09-07,14.0,0013j00002u2VyrAAE,1
77,2020-09-21,29.0,0013j00002u2VyrAAE,1
78,2020-10-03,9.0,0013j00002u2VyrAAE,1
79,2020-05-07,13.0,0013j00002tfIXQAA2,1
80,2020-05-07,13.0,0013j00002tfIXQAA2,1
81,2020-05-07,15.0,0013j00002tfIXQAA2,1
82,2020-05-28,296.0,0013j00002tfIXQAA2,1
83,2020-08-12,8.0,0013j00002tfIXQAA2,1
84,2020-07-29,11.0,0011L00002dbOz0QAE,1
85,2020-06-01,11.0,0013j00002ttVPwAAM,1
86,2020-06-13,11.0,0013j00002ttVPwAAM,1
87,2020-09-03,11.0,0013j00002ttVPwAAM,1
88,2020-09-08,12.0,0013j00002ttVPwAAM,1
89,2020-09-12,7.0,0013j00002ttVPwAAM,1
90,2020-09-14,25.0,0013j00002ttVPwAAM,1
91,2020-09-22,24.0,0013j00002ttVPwAAM,1
92,2020-09-23,10.0,0013j00002ttVPwAAM,1
93,2020-07-04,8.0,0013j00002ymdhiAAA,1
94,2020-05-27,10.0,0011L00002WeLgiQAF,1
95,2020-09-09,3.0,0013j00002u2r01AAA,1
96,2020-10-06,2.0,0013j00002zhTTlAAM,1
97,2020-10-06,2.0,0013j00002zhTTlAAM,1
98,2020-07-21,44.0,0013j00002ynba7AAA,1
99,2020-07-28,17.0,0013j00002ynba7AAA,1
100,2020-07-31,11.0,0013j00002ynba7AAA,1
101,2020-08-01,10.0,0013j00002ynba7AAA,1
102,2020-08-02,21.0,0013j00002ynba7AAA,1
103,2020-08-02,21.0,0013j00002ynba7AAA,1
104,2020-08-06,14.0,0013j00002ynba7AAA,1
105,2020-10-26,3.0,0013j00002qM2b0AAC,1
106,2020-10-26,3.0,0013j00002qM2b0AAC,1
107,2020-09-09,5.0,0013j00002zQjkEAAS,1
108,2020-05-04,10.0,0011L00002Y3B0HQAV,1
109,2020-10-03,5.0,0013j00002zgUAKAA2,1
110,2020-08-31,7.0,0013j00002yzcmdAAA,1
111,2020-10-29,5.0,0013j00002yzcmdAAA,1
112,2020-10-29,5.0,0013j00002yzcmdAAA,1
113,2020-08-01,10.0,0013j00002ypdOqAAI,1
114,2020-09-28,4.0,0013j00002ypdOqAAI,1
115,2020-10-22,8.0,0013j000030E24pAAC,1
116,2020-07-11,5.0,0013j00002yn2xCAAQ,1
117,2020-04-27,1.0,0013j00002sxCTPAA2,1
118,2020-04-28,18.0,0013j00002sxCTPAA2,1
119,2020-05-06,17.0,0013j00002sxCTPAA2,1
120,2020-06-17,6.0,0013j00002yeAHuAAM,1
121,2020-06-25,8.0,0013j00002yeAHuAAM,1
122,2020-06-25,8.0,0013j00002yeAHuAAM,1
123,2020-06-25,8.0,0013j00002yeAHuAAM,1
124,2020-06-25,8.0,0013j00002yeAHuAAM,1
125,2020-07-01,25.0,0013j00002yeAHuAAM,1
126,2020-10-07,3.0,0013j00002yeAHuAAM,1
127,2020-10-23,3.0,0013j00002yeAHuAAM,1
128,2020-09-14,7.0,0013j00002zQm2sAAC,1
129,2020-09-15,4.0,0013j00002zQm2sAAC,1
130,2020-06-21,17.0,0011L00002bFu4WQAS,1
131,2020-06-21,17.0,0011L00002bFu4WQAS,1
132,2020-10-13,15.0,0013j00002zhpkMAAQ,1
133,2020-10-22,3.0,0013j00002yKw09AAC,1
134,2020-09-15,10.0,0013j00002zfursAAA,1
135,2020-07-28,7.0,0013j00002yDGtNAAW,1
136,2020-07-13,12.0,0013j00002ymtbFAAQ,1
137,2020-07-13,15.0,0013j00002ymtbFAAQ,1
138,2020-07-13,15.0,0013j00002ymtbFAAQ,1
139,2020-07-16,5.0,0013j00002ymtbFAAQ,1
140,2020-07-16,5.0,0013j00002ymtbFAAQ,1
141,2020-08-25,8.0,0013j00002ymtbFAAQ,1
142,2020-07-18,614.0,0013j00002ynO93AAE,1
143,2020-10-21,12.0,0013j000030BwoaAAC,1
144,2020-10-22,14.0,0013j000030BwoaAAC,1
145,2020-10-11,6.0,0013j00002zOzaPAAS,1
146,2020-08-03,14.0,0013j00002ymtiGAAQ,1
147,2020-08-27,7.0,0013j00002ymtiGAAQ,1
148,2020-09-16,5.0,0013j00002ymtiGAAQ,1
149,2020-09-29,25.0,0013j00002ymtiGAAQ,1
150,2020-05-09,37.0,0011L00002K5GqWQAV,1
151,2020-05-11,8.0,0011L00002K5GqWQAV,1
152,2020-09-01,8.0,0011L00002K5GqWQAV,1
153,2020-07-02,4.0,0013j00002u3rfdAAA,1
154,2020-06-16,7.0,0013j00002u3aFAAAY,1
155,2020-06-16,7.0,0013j00002u3aFAAAY,1
156,2020-06-16,7.0,0013j00002u3aFAAAY,1
157,2020-08-24,11.0,0013j00002z1yEuAAI,1
158,2020-08-24,11.0,0013j00002z1yEuAAI,1
159,2020-08-25,63.0,0013j00002z1yEuAAI,1
160,2020-08-25,63.0,0013j00002z1yEuAAI,1
161,2020-09-03,10.0,0013j00002z1yEuAAI,1
162,2020-05-15,8.0,0013j00002tuSmGAAU,1
163,2020-05-19,6.0,0013j00002tuSmGAAU,1
164,2020-05-19,6.0,0013j00002tuSmGAAU,1
165,2020-10-08,7.0,0013j0000304Md1AAE,1
166,2020-10-26,7.0,0013j00002mXkyPAAS,1
167,2020-09-25,13.0,0013j00002zQNwlAAG,1
168,2020-09-22,11.0,0013j00002zfrPSAAY,1
169,2020-10-03,4.0,0013j00002zfrPSAAY,1
170,2020-06-27,10.0,0013j00002mYsVVAA0,1
171,2020-08-10,12.0,0013j00002yAPzeAAG,1
172,2020-08-21,8.0,0013j00002yAPzeAAG,1
173,2020-08-27,10.0,0013j00002yAPzeAAG,1
174,2020-07-30,7.0,0013j00002yzj45AAA,1
175,2020-09-15,5.0,0013j00002yzj45AAA,1
176,2020-09-21,6.0,0013j00002yzj45AAA,1
177,2020-08-09,7.0,0013j00002yySLaAAM,1
178,2020-07-21,9.0,0013j00002yp7h9AAA,1
179,2020-08-04,6.0,0013j00002yp7h9AAA,1
180,2020-08-06,16.0,0013j00002yp7h9AAA,1
181,2020-06-03,10.0,0013j00002u1vcSAAQ,1
182,2020-06-03,10.0,0013j00002u1vcSAAQ,1
183,2020-06-03,10.0,0013j00002u1vcSAAQ,1
184,2020-07-12,9.0,0013j00002u1vcSAAQ,1
185,2020-08-10,13.0,0013j00002u1vcSAAQ,1
186,2020-08-19,16.0,0013j00002u3ldNAAQ,1
187,2020-09-23,12.0,0013j00002z0R1IAAU,1
188,2020-06-10,10.0,0013j00002u3gfYAAQ,1
189,2020-07-16,12.0,0013j00002u3gfYAAQ,1
190,2020-07-13,13.0,0011L00002Y3m8hQAB,1
191,2020-07-13,13.0,0011L00002Y3m8hQAB,1
192,2020-06-22,11.0,0013j00002yghRIAAY,1
193,2020-05-27,9.0,0013j00002tfnwbAAA,1
194,2020-10-08,8.0,0013j00002uE65mAAC,1
195,2020-06-01,16.0,0011L00002ebuQ6QAI,1
196,2020-06-08,12.0,0011L00002ebuQ6QAI,1
197,2020-09-14,5.0,0013j00002zQjceAAC,1
198,2020-08-27,20.0,0013j00002zPVzEAAW,1
199,2020-09-21,11.0,0013j00002zQkfUAAS,1
200,2020-09-21,12.0,0013j00002zQkfUAAS,1
201,2020-10-17,7.0,0013j00002mWiIxAAK,1
202,2020-10-21,4.0,0013j00002mWiIxAAK,1
203,2020-10-21,4.0,0013j00002mWiIxAAK,1
204,2020-10-14,10.0,0013j000030C7G8AAK,1
205,2020-10-28,4.0,0013j000030C7G8AAK,1
206,2020-10-28,4.0,0013j000030C7G8AAK,1
207,2020-07-23,16.0,0013j00002yhP5sAAE,1
208,2020-07-24,23.0,0013j00002yhP5sAAE,1
209,2020-07-27,17.0,0013j00002yhP5sAAE,1
210,2020-07-27,17.0,0013j00002yhP5sAAE,1
211,2020-07-06,5.0,0013j00002u3eOFAAY,1
212,2020-08-03,11.0,0013j00002yzc9JAAQ,1
213,2020-08-16,8.0,0013j00002yzc9JAAQ,1
214,2020-09-04,8.0,0013j00002yzc9JAAQ,1
215,2020-05-06,19.0,0011L00002SyiQcQAJ,1
216,2020-08-13,31.0,0011L00002SyiQcQAJ,1
217,2020-09-23,5.0,0013j00002ttqKzAAI,1
218,2020-09-23,5.0,0013j00002ttqKzAAI,1
219,2020-09-15,7.0,0013j00002zQf65AAC,1
220,2020-10-08,7.0,0013j0000303oMTAAY,1
221,2020-10-13,5.0,0013j00002uE4p3AAC,1
222,2020-10-13,5.0,0013j00002uE4p3AAC,1
223,2020-10-16,5.0,0013j00002uE4p3AAC,1
224,2020-10-16,5.0,0013j00002uE4p3AAC,1
225,2020-10-09,7.0,0013j0000303s1yAAA,1
226,2020-07-10,7.0,0013j00002yojnXAAQ,1
227,2020-07-20,11.0,0013j00002yojnXAAQ,1
228,2020-07-20,12.0,0013j00002yojnXAAQ,1
229,2020-07-20,12.0,0013j00002yojnXAAQ,1
230,2020-09-15,13.0,0013j00002zeUApAAM,1
231,2020-10-16,2.0,0013j00002zfGSuAAM,1
232,2020-07-29,11.0,0011L00002cpWs0QAE,1
233,2020-08-24,8.0,0011L00002cpWs0QAE,1
234,2020-10-20,3.0,0011L00002cpWs0QAE,1
235,2020-09-11,7.0,0013j00002zPcTVAA0,1
236,2020-10-14,5.0,0013j000030BuL7AAK,1
237,2020-10-14,8.0,0013j000030BuL7AAK,1
238,2020-10-14,8.0,0013j000030BuL7AAK,1
239,2020-09-10,19.0,0013j00002zNRKwAAO,1
240,2020-09-01,30.0,0013j00002u3JlIAAU,1
241,2020-08-10,9.0,0013j00002ypaZ5AAI,1
242,2020-08-10,9.0,0013j00002ypaZ5AAI,1
243,2020-07-29,43.0,0013j00002z0dSHAAY,1
244,2020-08-06,5.0,0013j00002z0dSHAAY,1
245,2020-09-10,2.0,0013j00002zQlbTAAS,1
246,2020-09-18,9.0,0013j00002zQlbTAAS,1
247,2020-09-21,4.0,0013j00002zQlbTAAS,1
248,2020-05-07,5.0,0013j00002tffw7AAA,1
249,2020-05-18,19.0,0013j00002tffw7AAA,1
250,2020-09-11,11.0,0013j00002zeGpQAAU,1
251,2020-09-17,16.0,0013j00002zeGpQAAU,1
252,2020-08-07,5.0,0013j00002z0wemAAA,1
253,2020-08-14,16.0,0013j00002z0wemAAA,1
254,2020-08-28,19.0,0013j00002z0wemAAA,1
255,2020-09-10,4.0,0013j00002z0wemAAA,1
256,2020-09-11,13.0,0013j00002yzWiqAAE,1
257,2020-06-09,12.0,0013j00002u39mpAAA,1
258,2020-06-29,8.0,0013j00002u39mpAAA,1
259,2020-07-31,5.0,0013j00002u39mpAAA,1
260,2020-08-07,11.0,0013j00002u39mpAAA,1
261,2020-08-24,19.0,0013j00002u39mpAAA,1
262,2020-08-31,35.0,0013j00002u39mpAAA,1
263,2020-08-26,28.0,0013j00002zNVdOAAW,1
264,2020-08-28,6.0,0011L00002SkyvFQAR,1
265,2020-07-27,4.0,0013j00002ymRkCAAU,1
266,2020-10-23,4.0,0013j000030CEdBAAW,1
267,2020-08-26,6.0,0013j00002zP3QFAA0,1
268,2020-10-06,27.0,0013j0000303tG6AAI,1
269,2020-10-06,27.0,0013j0000303tG6AAI,1
270,2020-08-14,5.0,0013j00002yyDyBAAU,1
271,2020-09-28,4.0,0013j00002yyDyBAAU,1
272,2020-10-22,2.0,0013j000030C1zIAAS,1
273,2020-05-05,14.0,0013j00002ttSLPAA2,1
274,2020-05-13,9.0,0013j00002ttSLPAA2,1
275,2020-07-15,11.0,0013j00002yoTwRAAU,1
276,2020-08-31,4.0,0013j00002yzJZaAAM,1
277,2020-08-18,11.0,0013j00002zO5eMAAS,1
278,2020-08-24,7.0,0013j00002zO5eMAAS,1
279,2020-06-02,49.0,0013j00002twfnIAAQ,1
280,2020-09-12,10.0,0013j00002zfpbHAAQ,1
281,2020-09-21,9.0,0013j00002zQnOEAA0,1
282,2020-06-02,7.0,0011L00002Wf5UuQAJ,1
283,2020-08-25,10.0,0011L00002Wf5UuQAJ,1
284,2020-10-08,14.0,0011L00002Wf5UuQAJ,1
285,2020-09-20,10.0,0013j00002zeawLAAQ,1
286,2020-09-27,7.0,0013j00002zfDJGAA2,1
287,2020-10-14,10.0,0013j00002zfDJGAA2,1
288,2020-10-14,10.0,0013j00002zfDJGAA2,1
289,2020-09-20,13.0,0013j00002zgZX2AAM,1
290,2020-09-25,3.0,0013j00002zNViXAAW,1
291,2020-09-16,3.0,0013j00002zeNHHAA2,1
292,2020-09-16,3.0,0013j00002zeNHHAA2,1
293,2020-09-16,3.0,0013j00002zeNHHAA2,1
294,2020-08-30,8.0,0013j00002zQEBSAA4,1
295,2020-09-25,3.0,0013j00002zi1pJAAQ,1
296,2020-09-25,4.0,0013j00002zi1pJAAQ,1
297,2020-04-07,9.0,0013j00002qLAfUAAW,1
298,2020-08-11,6.0,0013j00002u3GB2AAM,1
299,2020-08-21,9.0,0013j00002zOMIqAAO,1
300,2020-08-21,9.0,0013j00002zOMIqAAO,1
301,2020-08-21,10.0,0013j00002zOMIqAAO,1
302,2020-08-21,10.0,0013j00002zOMIqAAO,1
303,2020-08-28,7.0,0013j00002zOMIqAAO,1
304,2020-08-29,19.0,0013j00002zOMIqAAO,1
305,2020-09-02,14.0,0013j00002zOMIqAAO,1
306,2020-09-08,9.0,0013j00002zOMIqAAO,1
307,2020-08-11,7.0,0013j00002tfMGJAA2,1
308,2020-06-06,14.0,0011L00002bFDjgQAG,1
309,2020-04-02,12.0,0013j00002qJKSNAA4,1
310,2020-04-03,13.0,0013j00002qJKSNAA4,1
311,2020-04-03,17.0,0013j00002qJKSNAA4,1
312,2020-04-03,17.0,0013j00002qJKSNAA4,1
313,2020-04-03,17.0,0013j00002qJKSNAA4,1
314,2020-05-09,14.0,0013j00002qJKSNAA4,1
315,2020-07-18,9.0,0013j00002ykCGXAA2,1
316,2020-07-18,9.0,0013j00002ykCGXAA2,1
317,2020-07-25,2.0,0013j00002ykCGXAA2,1
318,2020-07-25,5.0,0013j00002ykCGXAA2,1
319,2020-07-25,6.0,0013j00002ykCGXAA2,1
320,2020-08-04,11.0,0013j00002ykCGXAA2,1
321,2020-08-08,6.0,0013j00002ykCGXAA2,1
322,2020-08-10,8.0,0013j00002ykCGXAA2,1
323,2020-08-10,8.0,0013j00002ykCGXAA2,1
324,2020-08-10,8.0,0013j00002ykCGXAA2,1
325,2020-08-10,8.0,0013j00002ykCGXAA2,1
326,2020-08-10,8.0,0013j00002ykCGXAA2,1
327,2020-03-06,5.0,0011L00002ZbteoQAB,1
328,2020-03-06,5.0,0011L00002ZbteoQAB,1
329,2020-03-06,6.0,0011L00002ZbteoQAB,1
330,2020-03-06,6.0,0011L00002ZbteoQAB,1
331,2020-03-06,6.0,0011L00002ZbteoQAB,1
332,2020-07-30,9.0,0013j00002z0w81AAA,1
333,2020-08-28,10.0,0013j00002zQUj0AAG,1
334,2020-08-28,10.0,0013j00002zQUj0AAG,1
335,2020-09-10,5.0,0013j00002zQUj0AAG,1
336,2020-09-10,7.0,0013j00002zQUj0AAG,1
337,2020-10-13,4.0,0013j00002zQUj0AAG,1
338,2020-10-13,4.0,0013j00002zQUj0AAG,1
339,2020-10-13,4.0,0013j00002zQUj0AAG,1
340,2020-10-19,2.0,0013j00002zQUj0AAG,1
341,2020-08-14,8.0,0013j00002z1knRAAQ,1
342,2020-08-14,8.0,0013j00002z1knRAAQ,1
343,2020-08-30,10.0,0013j00002tv95DAAQ,1
344,2020-10-08,5.0,0013j00002tv95DAAQ,1
345,2020-10-08,5.0,0013j00002tv95DAAQ,1
346,2020-09-26,3.0,0013j00002zhBvuAAE,1
347,2020-09-26,3.0,0013j00002zhBvuAAE,1
348,2020-09-26,3.0,0013j00002zhBvuAAE,1
349,2020-09-26,3.0,0013j00002zhBvuAAE,1
350,2020-10-15,4.0,0013j00002zhBvuAAE,1
351,2020-08-10,10.0,0013j00002yoI4RAAU,1
352,2020-08-10,10.0,0013j00002yoI4RAAU,1
353,2020-08-10,10.0,0013j00002yoI4RAAU,1
354,2020-08-10,10.0,0013j00002yoI4RAAU,1
355,2020-08-13,11.0,0013j00002yoI4RAAU,1
356,2020-08-31,2.0,0013j00002zPCLgAAO,1
357,2020-08-10,9.0,0013j00002z1VZJAA2,1
358,2020-07-23,4.0,0013j00002yyit9AAA,1
359,2020-07-23,4.0,0013j00002yyit9AAA,1
360,2020-05-06,12.0,0013j00002tgeLUAAY,1
361,2020-07-06,17.0,0013j00002tgeLUAAY,1
362,2020-06-30,12.0,0013j00002ygVarAAE,1
363,2020-07-09,5.0,0013j00002ygVarAAE,1
364,2020-07-13,13.0,0013j00002ygVarAAE,1
365,2020-07-13,13.0,0013j00002ygVarAAE,1
366,2020-07-14,22.0,0013j00002ygVarAAE,1
367,2020-06-08,20.0,0013j00002tfQ2GAAU,1
368,2020-06-08,20.0,0013j00002tfQ2GAAU,1
369,2020-06-08,20.0,0013j00002tfQ2GAAU,1
370,2020-07-08,5.0,0013j00002tfQ2GAAU,1
371,2020-09-21,13.0,0013j00002zfDNVAA2,1
372,2020-10-17,13.0,0013j00002zfDNVAA2,1
373,2020-10-17,13.0,0013j00002zfDNVAA2,1
374,2020-10-17,13.0,0013j00002zfDNVAA2,1
375,2020-10-17,13.0,0013j00002zfDNVAA2,1
376,2020-10-17,13.0,0013j00002zfDNVAA2,1
377,2020-10-17,13.0,0013j00002zfDNVAA2,1
378,2020-10-15,6.0,0013j00002uDrc6AAC,1
379,2020-07-23,9.0,0013j00002yzcbuAAA,1
380,2020-07-25,12.0,0013j00002yzcbuAAA,1
381,2020-07-25,12.0,0013j00002yzcbuAAA,1
382,2020-07-29,9.0,0013j00002yzcbuAAA,1
383,2020-07-30,2.0,0013j00002yzcbuAAA,1
384,2020-07-31,9.0,0013j00002yzcbuAAA,1
385,2020-07-31,9.0,0013j00002yzcbuAAA,1
386,2020-10-23,5.0,0013j000030CyZFAA0,1
387,2020-10-23,5.0,0013j000030CyZFAA0,1
388,2020-10-29,9.0,0013j000030CyZFAA0,1
389,2020-03-12,11.0,0011L00002WdC9mQAF,1
390,2020-04-28,11.0,0011L00002WdC9mQAF,1
391,2020-08-10,15.0,0011L00002WdC9mQAF,1
392,2020-08-10,15.0,0011L00002WdC9mQAF,1
393,2020-08-10,15.0,0011L00002WdC9mQAF,1
394,2020-08-11,4.0,0011L00002WdC9mQAF,1
395,2020-08-12,15.0,0011L00002WdC9mQAF,1
396,2020-08-31,5.0,0013j00002zQqQyAAK,1
397,2020-08-31,5.0,0013j00002zQqQyAAK,1
398,2020-09-10,7.0,0013j00002zQqQyAAK,1
399,2020-07-15,9.0,0013j00002yoQKSAA2,1
400,2020-07-15,9.0,0013j00002yoQKSAA2,1
401,2020-07-25,17.0,0013j00002yoQKSAA2,1
402,2020-07-31,17.0,0013j00002yoQKSAA2,1
403,2020-09-30,82.0,0013j00002yoQKSAA2,1
404,2020-09-07,16.0,0013j00002zesWWAAY,1
405,2020-09-07,16.0,0013j00002zesWWAAY,1
406,2020-09-07,16.0,0013j00002zesWWAAY,1
407,2020-09-17,15.0,0013j00002zesWWAAY,1
408,2020-09-18,52.0,0013j00002zesWWAAY,1
409,2020-07-07,12.0,0013j00002ymGREAA2,1
410,2020-09-09,3.0,0013j00002zPyYyAAK,1
411,2020-09-16,6.0,0013j00002zezYDAAY,1
412,2020-09-12,22.0,0013j00002zfp1cAAA,1
413,2020-09-12,22.0,0013j00002zfp1cAAA,1
414,2020-07-06,179.0,0013j00002sgzElAAI,1
415,2020-07-06,179.0,0013j00002sgzElAAI,1
416,2020-08-12,9.0,0013j00002u3VVgAAM,1
417,2020-06-05,26.0,0013j00002txTcAAAU,1
418,2020-08-20,8.0,0013j00002txTcAAAU,1
419,2020-08-20,8.0,0013j00002txTcAAAU,1
420,2020-09-16,4.0,0013j00002txTcAAAU,1
421,2020-10-06,9.0,0013j00002zhaCyAAI,1
422,2020-10-06,9.0,0013j00002zhaCyAAI,1
423,2020-10-06,40.0,0013j00002zhaCyAAI,1
424,2020-10-14,12.0,0013j00002zhaCyAAI,1
425,2020-10-21,2.0,0013j00002uDqQEAA0,1
426,2020-10-24,7.0,0013j00002uDqQEAA0,1
427,2020-10-25,14.0,0013j00002uDqQEAA0,1
428,2020-10-16,11.0,0013j00002uE0hcAAC,1
429,2020-07-13,8.0,0013j00002yoNIaAAM,1
430,2020-07-13,8.0,0013j00002yoNIaAAM,1
431,2020-08-12,9.0,0013j00002ypaOiAAI,1
432,2020-08-12,20.0,0013j00002ypaOiAAI,1
433,2020-08-12,20.0,0013j00002ypaOiAAI,1
434,2020-08-12,20.0,0013j00002ypaOiAAI,1
435,2020-08-13,14.0,0013j00002ypaOiAAI,1
436,2020-08-24,13.0,0013j00002ypaOiAAI,1
437,2020-06-17,3.0,0013j00002u3JdjAAE,1
438,2020-07-08,10.0,0013j00002u3JdjAAE,1
439,2020-07-08,10.0,0013j00002u3JdjAAE,1
440,2020-07-29,4.0,0013j00002u3JdjAAE,1
441,2020-09-24,7.0,0013j00002u3JdjAAE,1
442,2020-05-13,17.0,0013j00002ttbWsAAI,1
443,2020-05-13,51.0,0013j00002ttbWsAAI,1
444,2020-05-18,2.0,0013j00002ttbWsAAI,1
445,2020-05-18,2.0,0013j00002ttbWsAAI,1
446,2020-05-18,2.0,0013j00002ttbWsAAI,1
447,2020-10-10,8.0,0013j00002zhtc7AAA,1
448,2020-07-21,62.0,0013j00002yycTiAAI,1
449,2020-08-03,10.0,0013j00002yycTiAAI,1
450,2020-08-03,10.0,0013j00002yycTiAAI,1
451,2020-08-06,7.0,0013j00002yycTiAAI,1
452,2020-08-27,6.0,0013j00002yyByTAAU,1
453,2020-08-10,7.0,0013j00002yoBQ7AAM,1
454,2020-09-21,5.0,0013j00002yoBQ7AAM,1
455,2020-09-25,5.0,0013j00002yoBQ7AAM,1
456,2020-10-19,16.0,0013j0000304wLKAAY,1
457,2020-08-10,16.0,0013j00002z1CN3AAM,1
458,2020-10-22,5.0,0013j00002z1CN3AAM,1
459,2020-08-24,3.0,0013j00002z0ndqAAA,1
460,2020-08-24,3.0,0013j00002z0ndqAAA,1
461,2020-05-25,172.0,0013j00002tfCFpAAM,1
462,2020-05-25,172.0,0013j00002tfCFpAAM,1
463,2020-05-25,172.0,0013j00002tfCFpAAM,1
464,2020-09-06,15.0,0013j00002tfCFpAAM,1
465,2020-09-06,15.0,0013j00002tfCFpAAM,1
466,2020-10-12,0.0,0013j00002tfCFpAAM,1
467,2020-10-21,4.0,0013j000030CpERAA0,1
468,2020-10-27,34.0,0013j00002zNKLfAAO,1
469,2020-08-12,9.0,0013j00002ynQySAAU,1
470,2020-08-12,9.0,0013j00002ynQySAAU,1
471,2020-06-11,14.0,0013j00002tunEtAAI,1
472,2020-06-13,20.0,0013j00002tunEtAAI,1
473,2020-09-10,5.0,0013j00002zRAi7AAG,1
474,2020-10-01,11.0,0013j00002zho5yAAA,1
475,2020-08-13,12.0,0013j00002ypaJxAAI,1
476,2020-08-20,15.0,0013j00002ypaJxAAI,1
477,2020-09-30,8.0,0013j00002zghUvAAI,1
478,2020-08-28,9.0,0013j00002yySa6AAE,1
479,2020-10-22,6.0,0013j00002tus7eAAA,1
480,2020-10-24,17.0,0013j0000304nkLAAQ,1
481,2020-09-21,6.0,0013j00002qKLDbAAO,1
